Cap_Model,Scenario,FY,PeakPeriod,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
p99,Step Change,FY2028,Off-peak,105012,7.882341,6.2685413,10.399176,20.80869
p99,Step Change,FY2028,Peak,39384,8.337451,6.775688,13.277573,27.64442
p99,Step Change,FY2028,Shoulder,170664,9.832427,8.486057,14.078146,25.805962
p99,Step Change,FY2029,Off-peak,105012,11.817349,9.61388,15.503073,29.76343
p99,Step Change,FY2029,Peak,39384,12.499549,10.537373,19.473001,38.858616
p99,Step Change,FY2029,Shoulder,170664,14.70863,12.83136,20.847998,37.42276
p99,Step Change,FY2030,Off-peak,105012,17.08156,13.967506,22.398376,41.46468
p99,Step Change,FY2030,Peak,39384,17.843967,15.108757,27.624487,52.05951
p99,Step Change,FY2030,Shoulder,170664,20.955183,18.40922,29.768856,52.13377
p99.5,Accelerated Transition,FY2026,Off-peak,105012,3.0198677,2.2376022,4.1025076,9.450029
p99.5,Accelerated Transition,FY2026,Peak,39384,3.4668064,2.2401123,5.354912,15.432463
p99.5,Accelerated Transition,FY2026,Shoulder,170664,3.8207574,3.0437088,5.688822,11.835714
p99.5,Accelerated Transition,FY2027,Off-peak,105012,7.236002,5.7860107,9.5021,19.248644
p99.5,Accelerated Transition,FY2027,Peak,39384,8.277922,6.3582573,12.487843,29.275347
p99.5,Accelerated Transition,FY2027,Shoulder,170664,9.182187,7.853405,13.046593,24.116009
p99.5,Accelerated Transition,FY2028,Off-peak,105012,13.297332,10.838448,17.330017,33.265583
p99.5,Accelerated Transition,FY2028,Peak,39384,15.30387,12.354168,22.567015,48.16473
p99.5,Accelerated Transition,FY2028,Shoulder,170664,16.803047,14.610178,23.583422,41.957752
p99.5,Accelerated Transition,FY2029,Off-peak,105012,21.531082,17.674133,28.343292,51.63622
p99.5,Accelerated Transition,FY2029,Peak,39384,24.51626,20.366112,36.061356,71.04257
p99.5,Accelerated Transition,FY2029,Shoulder,170664,26.592655,23.557064,37.57426,65.17763
p99.5,Accelerated Transition,FY2030,Off-peak,105012,34.52426,28.581942,46.46816,79.184456
p99.5,Accelerated Transition,FY2030,Peak,39384,38.62621,33.654396,56.619427,101.538376
p99.5,Accelerated Transition,FY2030,Shoulder,170664,40.395496,36.54662,58.034286,97.73766
p99.5,Slower Growth,FY2026,Off-peak,105012,1.207203,0.698719,1.7627106,4.832818
p99.5,Slower Growth,FY2026,Peak,39384,1.420439,0.48919296,2.1200714,7.8503814
p99.5,Slower Growth,FY2026,Shoulder,170664,1.5353771,0.94290566,2.4284105,6.282837
p99.5,Slower Growth,FY2027,Off-peak,105012,2.4200497,1.7347183,3.3384476,8.132208
p99.5,Slower Growth,FY2027,Peak,39384,2.7698457,1.6532402,4.2634583,12.929425
p99.5,Slower Growth,FY2027,Shoulder,170664,3.064326,2.3695006,4.6106634,9.99498
p99.5,Slower Growth,FY2028,Off-peak,105012,3.6319933,2.7423248,4.8532333,10.886747
p99.5,Slower Growth,FY2028,Peak,39384,4.133682,2.8350372,6.4034557,17.538622
p99.5,Slower Growth,FY2028,Shoulder,170664,4.5880737,3.7086744,6.747711,13.640445
p99.5,Slower Growth,FY2029,Off-peak,105012,5.1421824,3.987564,6.808591,14.387436
p99.5,Slower Growth,FY2029,Peak,39384,5.850687,4.3007584,8.942574,22.600117
p99.5,Slower Growth,FY2029,Shoulder,170664,6.504848,5.452671,9.374225,17.955734
p99.5,Slower Growth,FY2030,Off-peak,105012,6.9349394,5.528549,9.098356,18.585772
p99.5,Slower Growth,FY2030,Peak,39384,7.9240966,6.0712814,11.952076,28.453802
p99.5,Slower Growth,FY2030,Shoulder,170664,8.800643,7.526785,12.5330105,23.196545
p99.5,Step Change,FY2026,Off-peak,105012,2.1139343,1.4779243,2.9485054,7.3219476
p99.5,Step Change,FY2026,Peak,39384,2.433806,1.3747063,3.7405548,11.697361
p99.5,Step Change,FY2026,Shoulder,170664,2.6827686,2.011261,4.0859632,9.090739
p99.5,Step Change,FY2027,Off-peak,105012,4.842227,3.738575,6.434428,13.689901
p99.5,Step Change,FY2027,Peak,39384,5.5053596,4.033409,8.412752,21.543644
p99.5,Step Change,FY2027,Shoulder,170664,6.115651,5.103157,8.8700075,17.109995
p99.5,Step Change,FY2028,Off-peak,105012,7.840014,6.2946777,10.24955,20.734844
p99.5,Step Change,FY2028,Peak,39384,8.965689,6.9693375,13.500809,31.004358
p99.5,Step Change,FY2028,Shoulder,170664,9.9474125,8.542969,14.066606,25.870604
p99.5,Step Change,FY2029,Off-peak,105012,11.771476,9.5571785,15.358078,29.81179
p99.5,Step Change,FY2029,Peak,39384,13.509782,10.859367,19.96698,43.406464
p99.5,Step Change,FY2029,Shoulder,170664,14.924016,12.931225,20.92244,37.632442
p99.5,Step Change,FY2030,Off-peak,105012,17.032549,13.918922,22.341022,41.628735
p99.5,Step Change,FY2030,Peak,39384,19.57791,15.990921,28.96175,58.944134
p99.5,Step Change,FY2030,Shoulder,170664,21.346197,18.667837,29.97676,52.729218
p99.9,Accelerated Transition,FY2026,Off-peak,105012,2.9748263,2.2227707,4.076599,8.966196
p99.9,Accelerated Transition,FY2026,Peak,39384,3.7671175,2.238472,5.5043316,17.957382
p99.9,Accelerated Transition,FY2026,Shoulder,170664,3.8898468,3.0659065,5.710801,12.005105
p99.9,Accelerated Transition,FY2027,Off-peak,105012,7.107132,5.6968155,9.376879,18.669716
p99.9,Accelerated Transition,FY2027,Peak,39384,8.996646,6.3250656,12.576622,36.195927
p99.9,Accelerated Transition,FY2027,Shoulder,170664,9.368824,7.906849,13.120375,24.53183
p99.9,Accelerated Transition,FY2028,Off-peak,105012,13.108155,10.587345,17.198101,32.72022
p99.9,Accelerated Transition,FY2028,Peak,39384,16.533722,12.11795,22.704739,59.410816
p99.9,Accelerated Transition,FY2028,Shoulder,170664,17.117008,14.760138,23.595236,43.02984
p99.9,Accelerated Transition,FY2029,Off-peak,105012,21.376562,17.213558,27.717417,51.393055
p99.9,Accelerated Transition,FY2029,Peak,39384,26.415125,20.439728,36.273563,85.34417
p99.9,Accelerated Transition,FY2029,Shoulder,170664,27.065742,23.755348,37.458157,67.27789
p99.9,Accelerated Transition,FY2030,Off-peak,105012,34.373554,27.876217,45.094048,80.46272
p99.9,Accelerated Transition,FY2030,Peak,39384,41.464325,33.766727,57.380615,121.47792
p99.9,Accelerated Transition,FY2030,Shoulder,170664,41.196384,37.015587,58.089783,100.724075
p99.9,Slower Growth,FY2026,Off-peak,105012,1.186038,0.7179642,1.7605286,4.521784
p99.9,Slower Growth,FY2026,Peak,39384,1.5638512,0.4573822,2.189705,8.524833
p99.9,Slower Growth,FY2026,Shoulder,170664,1.552327,0.9390869,2.437172,6.1867843
p99.9,Slower Growth,FY2027,Off-peak,105012,2.3788877,1.710907,3.3326445,7.5370665
p99.9,Slower Growth,FY2027,Peak,39384,3.009552,1.6322289,4.379034,14.998143
p99.9,Slower Growth,FY2027,Shoulder,170664,3.1198328,2.3786077,4.648188,10.0826435
p99.9,Slower Growth,FY2028,Off-peak,105012,3.5695257,2.7123642,4.8703957,10.381378
p99.9,Slower Growth,FY2028,Peak,39384,4.4927883,2.801342,6.54187,20.457104
p99.9,Slower Growth,FY2028,Shoulder,170664,4.67368,3.751289,6.7631693,13.859998
p99.9,Slower Growth,FY2029,Off-peak,105012,5.0405774,3.9644012,6.7756386,13.844698
p99.9,Slower Growth,FY2029,Peak,39384,6.392476,4.2585793,9.108345,26.821503
p99.9,Slower Growth,FY2029,Shoulder,170664,6.6222477,5.514042,9.384563,18.279922
p99.9,Slower Growth,FY2030,Off-peak,105012,6.8099465,5.456959,9.005348,18.02663
p99.9,Slower Growth,FY2030,Peak,39384,8.612803,6.0082626,12.089388,34.901474
p99.9,Slower Growth,FY2030,Shoulder,170664,8.97894,7.5827336,12.608414,23.62499
p99.9,Step Change,FY2026,Off-peak,105012,2.0795083,1.4570312,2.9344025,6.838964
p99.9,Step Change,FY2026,Peak,39384,2.6384954,1.3380775,3.8378944,13.364674
p99.9,Step Change,FY2026,Shoulder,170664,2.728503,2.0285969,4.1055336,9.135988
p99.9,Step Change,FY2027,Off-peak,105012,4.7448764,3.716133,6.394211,13.168535
p99.9,Step Change,FY2027,Peak,39384,6.0028505,3.9644318,8.58374,25.649876
p99.9,Step Change,FY2027,Shoulder,170664,6.2248526,5.1638584,8.873236,17.41411
p99.9,Step Change,FY2028,Off-peak,105012,7.701837,6.1934357,10.125526,19.9847
p99.9,Step Change,FY2028,Peak,39384,9.741129,6.8762016,13.5226555,38.969383
p99.9,Step Change,FY2028,Shoulder,170664,10.150285,8.593418,14.153523,26.314316
p99.9,Step Change,FY2029,Off-peak,105012,11.592084,9.3524685,15.192577,29.034578
p99.9,Step Change,FY2029,Peak,39384,14.64356,10.638023,20.269005,54.822426
p99.9,Step Change,FY2029,Shoulder,170664,15.204345,13.088909,20.986067,38.509052
p99.9,Step Change,FY2030,Off-peak,105012,16.860498,13.6189785,21.86863,41.525677
p99.9,Step Change,FY2030,Peak,39384,21.033352,15.62442,28.776363,71.79041
p99.9,Step Change,FY2030,Shoulder,170664,21.741879,18.848846,29.925028,54.355736
