Cap_Model,Scenario,FY,LowRenewableFlag,Observations,Mean_Impact,Median_Impact,P75_Impact,P95_Impact
p99.9,Slower Growth,FY2029,False,236295,6.1911793,5.030487,8.77158,17.403381
p99.9,Slower Growth,FY2029,True,78765,5.6918297,4.0737762,7.4028015,18.757954
p99.9,Slower Growth,FY2030,False,236295,8.370222,6.9246674,11.7690735,22.381609
p99.9,Slower Growth,FY2030,True,78765,7.73025,5.696167,9.926514,24.1805
p99.9,Step Change,FY2026,False,236295,2.551572,1.8502121,3.8067417,8.735255
p99.9,Step Change,FY2026,True,78765,2.34903,1.420105,3.1783218,8.958545
p99.9,Step Change,FY2027,False,236295,5.8212733,4.711487,8.291185,16.56638
p99.9,Step Change,FY2027,True,78765,5.3514338,3.8151932,7.0053253,17.837454
p99.9,Step Change,FY2028,False,236295,9.447781,7.847679,13.208244,24.956987
p99.9,Step Change,FY2028,True,78765,8.788866,6.523178,11.223999,27.00321
p99.9,Step Change,FY2029,False,236295,14.134564,11.87487,19.601643,36.294395
p99.9,Step Change,FY2029,True,78765,13.3173,10.049973,17.087616,39.35973
p99.9,Step Change,FY2030,False,236295,20.227583,17.030752,27.90503,51.15603
p99.9,Step Change,FY2030,True,78765,19.42248,14.925659,25.0383,54.963276
